n,k,rep,algo,time,distance,ranking
100.0,6.0,0.0,random_circle_removal,0.0012030601501464844,-0.1478787878787879,"[17, 4, 10, 13, 28, 6, 15, 38, 57, 59, 80, 62, 46, 47, 18, 61, 54, 74, 70, 78, 84, 77, 87, 53, 26, 31, 82, 88, 79, 89, 91, 92, 95, 96, 97, 94, 93, 85, 63, 75, 69, 100, 45, 49, 50, 60, 55, 12, 67, 65, 73, 76, 58, 66, 51, 5, 39, 23, 30, 32, 25, 40, 43, 81, 44, 71, 72, 83, 41, 48, 21, 36, 52, 7, 16, 42, 34, 37, 68, 98, 64, 56, 11, 2, 86, 9, 33, 8, 14, 20, 35, 27, 29, 1, 19, 3, 24, 22, 90, 99]"
100.0,6.0,0.0,page_rank,0.0932779312133789,0.717979797979798,"[  1  29  17   4   2  11   5  14  13   9  10   8  12  15   7  32  23   6
  18   3  22  19  20  27  38  35  39  51  30  21  33  25  16  41  44  56
  24  61  28  52  55  85  34  81  43  42  59  36  64  40  37  54  48  46
  26  57  50  79  86  83  53  31  70  68  72  60  66  45  49  58  62  71
  98  47  69  82  80  75  91  67  93  65  73  77  63  87  84  76  88  74
  97  89  78  96 100  94  95  92  90  99]"
100.0,6.0,0.0,em,0.05324816703796387,0.7349494949494951,"[  4  17   1   6   2   3  10  29  13   5  32  35  39  38  18  14  15  23
   8  20  22  19  12   7  28  11  27  16   9  30  24  21  33  61  56  34
  44  25  42  37  52  41  40  36  55  64  51  54  59  43  26  48  81  57
  46  31  68  50  72  85  70  47  53  83  60  71  62  66  49  98  45  79
  58  69  80  82  86  67  65  63  75  77  93  87  73  76  91  74 100  97
  84  88  78  94  89  96  90  92  95  99]"
100.0,6.0,0.0,borda_ordering,0.0008418560028076172,0.7478787878787879,"[  1   2   4  17   3   6  10  35  20  32  22  29  15  38  18  13  56   5
  16  12   7  14  11   9  26  37  23   8  21  28  40  39  19  44  48  34
  27  33  24  42  25  36  61  64  59  50  41  30  46  31  52  43  57  51
  53  72  71  70  49  55  60  62  68  54  83  45  66  58  75  85  47  69
  81  80  91  67  82  79  98  88  84  73  77  65  63  87  76  89  93  74
  86  78  96  97  90  92  94  95 100  99]"
100.0,8.0,0.0,random_circle_removal,0.0016262531280517578,-0.2351515151515152,"[27, 12, 96, 98, 7, 30, 21, 34, 14, 24, 28, 45, 31, 41, 91, 94, 90, 100, 58, 87, 57, 61, 62, 88, 92, 54, 52, 55, 43, 29, 44, 47, 53, 86, 93, 89, 97, 51, 83, 79, 99, 78, 85, 76, 6, 20, 50, 84, 59, 25, 49, 81, 75, 82, 74, 95, 39, 32, 35, 77, 48, 23, 42, 56, 72, 68, 69, 71, 63, 22, 40, 13, 17, 19, 38, 46, 33, 18, 64, 80, 65, 66, 70, 26, 67, 73, 60, 5, 4, 16, 11, 36, 37, 3, 9, 8, 1, 10, 2, 15]"
100.0,8.0,0.0,page_rank,0.021872997283935547,0.7810101010101012,"[  3   1   6  11   5   2   8  37  10   7   4  17  20   9  16  12  19  77
  14  60  15  27  26  13  18  25  21  32  23  30  22  33  28  29  31  24
  35  36  40  76  45  39  41  38  48  63  57  46  59  47  42  43  44  34
  49  78  64  54  50  51  70  55  91  65  52  58  67  68  53  73  61  87
  56  62  88  86  80  69  66  72  85  75  74  84  71  90  92  97  81  83
  95  89  94  96  82  98  99  93  79 100]"
100.0,8.0,0.0,em,0.0431671142578125,0.8359595959595961,"[  3   4   2   5  11  10   1   7  20   9  12  16   8  27  19  21  17  18
  15  14  23   6  13  22  30  25  33  26  31  32  37  40  36  24  35  44
  48  43  28  29  50  38  77  46  57  47  49  52  45  58  34  42  55  39
  64  41  60  70  63  56  54  73  65  62  51  61  59  68  67  53  76  66
  71  80  72  87  69  74  78  84  91  85  86  75  90  81  88  95  82  83
  97  98  92  89  96  94  93  99  79 100]"
100.0,8.0,0.0,borda_ordering,0.0009331703186035156,0.844848484848485,"[  3   1   2   5  10   7  11   9   4  12  15   8  13  23   6  21  14  35
  17  27  19  24  20  22  18  16  29  30  25  33  26  40  31  32  28  44
  46  52  43  37  58  41  42  38  34  54  48  51  50  36  45  63  47  65
  39  49  77  60  67  70  55  61  64  76  56  57  68  62  59  53  78  73
  87  72  66  69  80  88  74  85  91  71  90  75  83  81  86  82  97  92
  84  89  93  94  99  79  95  96  98 100]"
100.0,6.0,1.0,random_circle_removal,0.0012328624725341797,-0.05050505050505051,"[3, 4, 75, 12, 81, 26, 47, 46, 54, 83, 19, 30, 52, 55, 60, 57, 31, 28, 61, 93, 95, 85, 94, 97, 92, 89, 29, 53, 63, 80, 59, 51, 86, 71, 84, 99, 50, 11, 79, 58, 15, 18, 41, 43, 16, 21, 25, 34, 44, 82, 87, 23, 42, 70, 20, 9, 49, 13, 22, 74, 73, 6, 78, 90, 39, 76, 32, 5, 17, 10, 27, 38, 45, 64, 66, 37, 62, 7, 36, 48, 96, 98, 91, 100, 67, 68, 14, 35, 65, 69, 33, 72, 77, 88, 1, 56, 24, 40, 8, 2]"
100.0,6.0,1.0,page_rank,0.013340950012207031,0.6743434343434344,"[  2  27  17   3   5  25  10  14  23   4   8   6  21   9   1   7  20  30
  34  19  11  13  69  32  12  94  16  24  40  15  31  37  49  22  18  29
  38  28  53  50  26  74  58  88  33  62  43  42  73  61  36  45  41  56
  46  54  81  68  65  44  55  47  87  67  35  66  70  57  52  76  63  64
  97  83  51  60  79  59  72  39  48  82  77  75  78  80  71  96  89  84
  90  93  99  98  86  92  85  95 100  91]"
100.0,6.0,1.0,em,0.0697939395904541,0.7195959595959597,"[  4   3  10   8  12  27  17   9  22  13  25  34   7   5   2  21  16  49
  28  19  11  38  20  40  14  30  36  41  23  24  31  37   6  53   1  33
  43  62  18  44  29  55  15  58  57  32  69  26  61  47  45  52  50  35
  46  60  54  56  42  70  63  88  74  66  81  73  64  65  72  59  83  51
  39  94  76  75  48  68  77  79  82  87  80  78  97  67  96  90  89  99
  71  93  84  86  98  85  92  95 100  91]"
100.0,6.0,1.0,borda_ordering,0.0007991790771484375,0.7503030303030305,"[  3   9  10   4   5  22  11  17   2   8  25  13  21  34  27   7  37  16
  19  23  24  28  14  30   6  49   1  40  43  26  38  12  20  31  15  58
  33  69  18  45  32  46  47  29  44  36  35  63  41  55  54  53  42  52
  56  72  50  57  62  74  59  88  64  65  73  61  66  70  79  84  48  71
  39  81  78  77  51  60  94  68  80  76  83  75  67  97  82  90  92  86
  99  98  95  96  89  87  85  93  91 100]"
100.0,8.0,1.0,random_circle_removal,0.0015611648559570312,-0.05616161616161617,"[5, 4, 6, 100, 93, 96, 7, 15, 16, 17, 24, 50, 51, 54, 31, 48, 62, 85, 83, 97, 87, 88, 58, 74, 57, 92, 99, 90, 63, 91, 95, 84, 86, 98, 56, 29, 81, 45, 20, 30, 55, 21, 40, 22, 39, 52, 60, 59, 28, 46, 37, 14, 18, 19, 10, 27, 47, 79, 68, 76, 78, 89, 41, 12, 23, 26, 35, 38, 44, 49, 36, 42, 9, 33, 34, 61, 3, 11, 13, 72, 82, 94, 73, 43, 25, 2, 8, 1, 32, 70, 71, 77, 80, 67, 69, 75, 65, 64, 66, 53]"
100.0,8.0,1.0,page_rank,0.017246007919311523,0.7846464646464648,"[  3   2   5   7   4  20  18   1   6   8  22  11  17  15  25  12  10   9
  21  53  34  14  26  61  16  23  42  59  13  36  24  27  30  41  19  33
  28  38  29  40  32  51  37  31  52  55  46  39  48  35  50  43  49  44
  60  45  64  56  54  47  66  78  75  65  63  81  90  77  57  62  84  71
  89  58  69  83  70  76  73  72  79 100  67  86  85  80  68  74  82  87
  96  92  88  98  91  93  99  97  95  94]"
100.0,8.0,1.0,em,0.10479593276977539,0.823838383838384,"[  5   1   4   8   6  11   2  16  17   3  15  18  26  22  13   9  20   7
  12  23  21  10  30  19  24  28  14  25  33  34  32  36  40  27  37  53
  42  59  31  55  52  48  41  29  51  39  50  38  46  49  60  35  44  43
  64  45  54  61  56  57  62  47  58  65  72  75  86  66  78  77  81  70
  84  83  69  63  73  76  85  71  67  90  82  79  89  80  74  88  87  98
  92  68 100  96  97  91  99  94  93  95]"
100.0,8.0,1.0,borda_ordering,0.0011029243469238281,0.8569696969696972,"[  5   1   4   2   3   8   6  11  12  26  13  16  18  20   7  17   9  10
  15  22  14  19  30  23  25  27  24  21  28  37  33  39  34  42  44  32
  38  40  29  48  36  41  59  31  46  51  49  55  45  43  60  56  50  47
  53  35  52  63  77  57  64  61  62  84  71  81  69  54  58  78  65  70
  83  66  75  67  85  79  80  73  68  89  72  86  76  74  87  82  88  90
  91  92 100  98  93  97  99  95  96  94]"
